
Clock type: WALL
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..ython3.10/asyncio/runners.py:8 run  1      0.000052  3.115420  3.115420
..lectorEventLoop.run_until_complete  3      0.000124  3.114527  1.038176
.._UnixSelectorEventLoop.run_forever  3      0.000067  3.114223  1.038074
..4 _UnixSelectorEventLoop._run_once  12     0.000375  3.114111  0.259509
..ce-101/load/asyncio_yappi.py:5 foo  1      0.000024  3.111857  3.111857
..ctors.py:554 KqueueSelector.select  12     0.000223  2.502546  0.208545
..hon3.10/asyncio/tasks.py:593 sleep  3      2.502370  2.502526  0.834175
..e-101/load/asyncio_yappi.py:11 baz  1      0.000005  1.000425  1.000425
..0/asyncio/events.py:78 Handle._run  12     0.000053  0.611028  0.050919
..-101/calls.py:1 cpu_intensive_call  1      0.609302  0.609302  0.609302
..lectorEventLoop.shutdown_asyncgens  1      0.001139  0.001147  0.001147
..yncio/events.py:780 new_event_loop  1      0.000045  0.000425  0.000425
..aultEventLoopPolicy.new_event_loop  1      0.000008  0.000338  0.000338
..63 _UnixSelectorEventLoop.__init__  1      0.000004  0.000330  0.000330
..49 _UnixSelectorEventLoop.__init__  1      0.000024  0.000326  0.000326
..xSelectorEventLoop._make_self_pipe  1      0.000024  0.000173  0.000173
..io/runners.py:55 _cancel_all_tasks  1      0.000006  0.000173  0.000173
..py:67 _UnixSelectorEventLoop.close  1      0.000013  0.000170  0.000170
..3.10/asyncio/tasks.py:42 all_tasks  1      0.000051  0.000167  0.000167
..py:82 _UnixSelectorEventLoop.close  1      0.000016  0.000157  0.000157
..asyncio/tasks.py:610 ensure_future  3      0.000008  0.000134  0.000045
..syncio/tasks.py:618 _ensure_future  3      0.000021  0.000126  0.000042
..3 _UnixSelectorEventLoop.call_soon  9      0.000030  0.000124  0.000014
..py:696 _UnixSelectorEventLoop.time  18     0.000099  0.000116  0.000006
..SelectorEventLoop._close_self_pipe  1      0.000023  0.000112  0.000112
.._weakrefset.py:63 WeakSet.__iter__  1      0.000033  0.000110  0.000110
.. _UnixSelectorEventLoop.call_later  3      0.000026  0.000096  0.000032
.._UnixSelectorEventLoop.create_task  3      0.000049  0.000096  0.000032
.._UnixSelectorEventLoop._add_reader  1      0.000018  0.000089  0.000089
.. _UnixSelectorEventLoop._call_soon  9      0.000051  0.000087  0.000010
..y:309 _set_result_unless_cancelled  3      0.000015  0.000086  0.000029
..ents.py:184 _run_until_complete_cb  3      0.000042  0.000073  0.000024
..yncio/events.py:31 Handle.__init__  13     0.000055  0.000070  0.000005
..91 _UnixSelectorEventLoop.__init__  1      0.000024  0.000066  0.000066
..727 _UnixSelectorEventLoop.call_at  3      0.000025  0.000063  0.000021
..ixSelectorEventLoop._remove_reader  1      0.000014  0.000055  0.000055
..ython3.10/socket.py:594 socketpair  1      0.000018  0.000053  0.000053
..et.py:21 _IterationGuard.__enter__  1      0.000046  0.000047  0.000047
..vents.py:736 get_event_loop_policy  3      0.000002  0.000043  0.000014
..nts.py:728 _init_event_loop_policy  1      0.000019  0.000041  0.000041
..o/events.py:148 TimerHandle.cancel  3      0.000027  0.000039  0.000013
