FUNC __main__.my_func 15.0781 1675590813.6849 22.7109 1675590813.8490 0
CMDLINE /Users/alex/Library/Caches/pypoetry/virtualenvs/2023-python-web-performance-101-ZJBzhk7H-py3.10/bin/python load/memory_profiler.py
MEM 0.199219 1675590813.5787
MEM 13.968750 1675590813.6791
MEM 140.101562 1675590813.7806
FUNC __main__.ram_intensive_call 33.5781 1676759764.2843 35.9883 1676759767.3960 0
CMDLINE /Users/alex/Library/Caches/pypoetry/virtualenvs/2023-python-web-performance-101-ZJBzhk7H-py3.10/bin/python load/memory_profiler.py
MEM 0.199219 1676759763.8036
MEM 15.078125 1676759763.9042
MEM 19.621094 1676759764.0045
MEM 23.496094 1676759764.1054
MEM 30.144531 1676759764.2065
MEM 34.121094 1676759764.3117
MEM 34.839844 1676759764.4137
MEM 34.992188 1676759764.5165
MEM 35.171875 1676759764.6176
MEM 35.304688 1676759764.7214
MEM 35.421875 1676759764.8261
MEM 35.429688 1676759764.9292
MEM 35.429688 1676759765.0344
MEM 35.472656 1676759765.1350
MEM 35.574219 1676759765.2382
MEM 35.746094 1676759765.3418
MEM 35.761719 1676759765.4470
MEM 35.761719 1676759765.5520
MEM 35.773438 1676759765.6523
MEM 35.777344 1676759765.7576
MEM 35.851562 1676759765.8614
MEM 35.960938 1676759765.9626
MEM 35.980469 1676759766.0639
MEM 35.980469 1676759766.1651
MEM 35.980469 1676759766.2664
MEM 35.980469 1676759766.3676
MEM 35.980469 1676759766.4689
MEM 35.980469 1676759766.5705
MEM 35.980469 1676759766.6716
MEM 35.980469 1676759766.7728
MEM 35.980469 1676759766.8741
MEM 35.988281 1676759766.9754
MEM 35.988281 1676759767.0764
MEM 35.988281 1676759767.1777
MEM 35.988281 1676759767.2789
MEM 35.988281 1676759767.3801
